owner	returnNo	orderNo	paymentCode	returnType	shippingAgent	customerNo	bill_customerNo	shipmentDate	postingDate
IW	Ret098239	ORD157407	BILL	CUSTOMER_RA	HERMES	KNR198921	KNR198921	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098240	ORD159956	AMEX	CUSTOMER_RA	DHL	KNR818131	KNR818131	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098244	ORD153827	COD 	CUSTOMER_RA	HERMES	KNR192721	KNR192721	2010-12-12 00:00:00.000	2010-12-12 00:00:00.000
IW	Ret098248	ORD156835	BILL	CUSTOMER_RA	DHL	KNR174921	KNR174921	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098249	ORD157203	BILL	CUSTOMER_RA	HERMES	KNR937921	KNR937921	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098253	ORD156524	BILL	CUSTOMER_RA	HERMES	KNR342921	KNR342921	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098255	ORD152411	BILL	CUSTOMER_RA	HERMES	KNR042621	KNR042621	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098256	ORD147746	BILL	CUSTOMER_RA	HERMES	KNR639221	KNR639221	2010-12-02 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098257	ORD152294	VISA	CUSTOMER_RA	HERMES	KNR941621	KNR941621	2010-12-08 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098258	ORD155166	BILL	CUSTOMER_RA	HERMES	KNR262821	KNR262821	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098263	ORD140828	BILL	CUSTOMER_RA	HERMES	KNR378711	KNR378711	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098266	ORD152644	BILL	CUSTOMER_RA	DHL	KNR114621	KNR114621	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098272	ORD147302	BILL	CUSTOMER_RA	HERMES	KNR416221	KNR416221	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098274	ORD161001	BILL	CARRIER_SO	DHL	KNR616231	KNR616231	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098276	ORD154675	BILL	CUSTOMER_RA	DHL	KNR709721	KNR709721	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098277	ORD154475	BILL	CUSTOMER_RA	HERMES	KNR667721	KNR667721	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098278	ORD152351	BILL	CUSTOMER_RA	HERMES	KNR591621	KNR591621	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098279	ORD154967	BILL	CUSTOMER_RA	HERMES	KNR511821	KNR511821	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098280	ORD160310	BILL	CUSTOMER_RA	DHL	KNR580231	KNR580231	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098282	ORD155921	BILL	CUSTOMER_RA	DHL	KNR018821	KNR018821	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098283	ORD158449	BILL	CARRIER_SO	HERMES	KNR476031	KNR476031	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098286	ORD159624	BILL	CUSTOMER_RA	DHL	KNR265131	KNR265131	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098287	ORD152793	VISA	CUSTOMER_RA	DHL	KNR625621	KNR625621	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098290	ORD154894	BILL	CARRIER_SO	HERMES	KNR750821	KNR750821	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098292	ORD149983	BILL	CARRIER_SO	HERMES	KNR935421	KNR935421	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098294	ORD152311	BILL	CUSTOMER_RA	DHL	KNR361621	KNR361621	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098296	ORD152798	BILL	CUSTOMER_RA	HERMES	KNR135621	KNR135621	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098298	ORD159661	BILL	CUSTOMER_RA	HERMES	KNR095131	KNR095131	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
IW	Ret098299	ORD154209	MASTER	CUSTOMER_RA	DHL	KNR075721	KNR075721	2010-12-12 00:00:00.000	2010-12-13 00:00:00.000
